Houses,Price,Area
40,16834500.0,2018-05-27 20:40:31.468737.area
40,16730145.0,2018-05-27 20:40:32.904108.area
40,16901340.0,2018-05-27 20:40:34.634024.area
40,16922580.0,2018-05-27 20:40:36.347062.area
40,16769925.0,2018-05-27 20:40:38.647348.area
40,16716885.0,2018-05-27 20:40:40.243309.area
40,16913640.0,2018-05-27 20:40:43.758378.area
40,16497375.0,2018-05-27 20:40:45.326344.area
40,16336890.0,2018-05-27 20:40:46.583164.area
40,16348365.0,2018-05-27 20:40:48.298539.area
40,16639785.0,2018-05-27 20:40:49.756397.area
40,16170330.0,2018-05-27 20:40:51.075605.area
40,16158540.0,2018-05-27 20:40:52.581528.area
40,16447545.0,2018-05-27 20:40:53.926525.area
40,16968570.0,2018-05-27 20:40:55.851792.area
40,16428330.0,2018-05-27 20:40:57.131502.area
40,16764975.0,2018-05-27 20:40:58.813794.area
40,16454805.0,2018-05-27 20:41:00.201661.area
40,16783080.0,2018-05-27 20:41:01.807200.area
40,15841425.0,2018-05-27 20:41:02.926238.area
40,16414875.0,2018-05-27 20:41:04.190597.area
40,17088480.0,2018-05-27 20:41:06.104158.area
40,17273265.0,2018-05-27 20:41:07.972098.area
40,16319265.0,2018-05-27 20:41:09.162946.area
40,16157745.0,2018-05-27 20:41:10.533236.area
40,17008905.0,2018-05-27 20:41:12.432053.area
40,16210170.0,2018-05-27 20:41:13.679857.area
40,16461630.0,2018-05-27 20:41:14.956133.area
40,16804185.0,2018-05-27 20:41:16.690941.area
40,16844970.0,2018-05-27 20:41:18.359308.area
40,16638975.0,2018-05-27 20:41:19.784371.area
40,16754340.0,2018-05-27 20:41:21.440402.area
40,16492560.0,2018-05-27 20:41:22.742894.area
40,16669470.0,2018-05-27 20:41:24.237391.area
40,16707960.0,2018-05-27 20:41:26.146031.area
40,16850850.0,2018-05-27 20:41:27.777808.area
40,16637880.0,2018-05-27 20:41:29.210565.area
40,16617825.0,2018-05-27 20:41:30.588725.area
40,17376180.0,2018-05-27 20:41:33.517744.area
40,16487325.0,2018-05-27 20:41:34.964751.area
40,17506860.0,2018-05-27 20:41:36.774842.area
40,16830315.0,2018-05-27 20:41:38.063451.area
40,16592145.0,2018-05-27 20:41:39.552254.area
40,16641405.0,2018-05-27 20:41:40.823322.area
40,16801980.0,2018-05-27 20:41:43.082640.area
40,16165470.0,2018-05-27 20:41:44.183563.area
40,16495215.0,2018-05-27 20:41:45.954865.area
40,16396965.0,2018-05-27 20:41:47.645207.area
40,16472010.0,2018-05-27 20:41:49.081457.area
40,16313175.0,2018-05-27 20:41:50.262231.area
40,17114895.0,2018-05-27 20:41:52.150030.area
40,16183425.0,2018-05-27 20:41:53.458177.area
40,17103675.0,2018-05-27 20:41:55.416906.area
40,17610885.0,2018-05-27 20:41:57.750668.area
40,16132830.0,2018-05-27 20:41:59.059227.area
40,16390395.0,2018-05-27 20:42:00.269949.area
40,16918350.0,2018-05-27 20:42:02.048753.area
40,17123580.0,2018-05-27 20:42:03.844932.area
40,16707225.0,2018-05-27 20:42:05.934795.area
40,16412010.0,2018-05-27 20:42:07.262945.area
40,16634190.0,2018-05-27 20:42:09.056481.area
40,17370510.0,2018-05-27 20:42:11.973527.area
40,16586145.0,2018-05-27 20:42:13.430829.area
40,16354620.0,2018-05-27 20:42:14.843471.area
40,16066260.0,2018-05-27 20:42:16.132567.area
40,16861875.0,2018-05-27 20:42:17.998654.area
40,17089635.0,2018-05-27 20:42:19.803293.area
40,16488915.0,2018-05-27 20:42:21.285333.area
40,16787055.0,2018-05-27 20:42:23.148643.area
40,16854120.0,2018-05-27 20:42:25.445159.area
40,16698945.0,2018-05-27 20:42:27.345550.area
40,16670115.0,2018-05-27 20:42:28.819641.area
40,16742340.0,2018-05-27 20:42:30.233950.area
40,17020650.0,2018-05-27 20:42:31.958181.area
40,16547790.0,2018-05-27 20:42:33.562175.area
