Houses,Price,Area
60,23190600.0,2018-05-27 16:46:20.087520.area
60,23358615.0,2018-05-27 16:46:30.920475.area
60,23825175.0,2018-05-27 16:46:41.139638.area
60,23776710.0,2018-05-27 16:46:59.044915.area
60,24012390.0,2018-05-27 16:47:07.778814.area
60,23787045.0,2018-05-27 16:47:21.223581.area
60,24406395.0,2018-05-27 16:47:27.784817.area
60,23554785.0,2018-05-27 16:47:46.640059.area
60,24131835.0,2018-05-27 16:47:55.909410.area
60,23721150.0,2018-05-27 16:48:13.591338.area
60,23410080.0,2018-05-27 16:48:18.002077.area
60,23541660.0,2018-05-27 16:48:35.812321.area
60,23597130.0,2018-05-27 16:48:40.016566.area
60,23224215.0,2018-05-27 16:48:56.180499.area
60,23767710.0,2018-05-27 16:48:58.706780.area
60,23398755.0,2018-05-27 16:49:02.777594.area
60,24071565.0,2018-05-27 16:49:10.088573.area
60,23709105.0,2018-05-27 16:49:17.602399.area
60,23357520.0,2018-05-27 16:49:48.518854.area
60,24021450.0,2018-05-27 16:50:02.631407.area
60,23496450.0,2018-05-27 16:50:05.573212.area
60,23628780.0,2018-05-27 16:50:15.251011.area
60,23739540.0,2018-05-27 16:50:37.975914.area
60,24054210.0,2018-05-27 16:50:40.040556.area
60,23265165.0,2018-05-27 16:50:59.454270.area
60,23425395.0,2018-05-27 16:51:04.591090.area
60,23612775.0,2018-05-27 16:51:17.110274.area
60,23416380.0,2018-05-27 16:51:20.292108.area
60,23380275.0,2018-05-27 16:51:24.595816.area
60,23455230.0,2018-05-27 16:51:41.807479.area
60,23425650.0,2018-05-27 16:51:47.778481.area
60,23355765.0,2018-05-27 16:52:12.507026.area
60,23330640.0,2018-05-27 16:52:24.420151.area
60,23571645.0,2018-05-27 16:53:03.330791.area
60,23572770.0,2018-05-27 16:53:05.436565.area
60,23220510.0,2018-05-27 16:53:14.503478.area
60,23493045.0,2018-05-27 16:54:02.296580.area
60,23523990.0,2018-05-27 16:54:23.318049.area
60,23839335.0,2018-05-27 16:54:34.130680.area
60,23372640.0,2018-05-27 16:54:45.514080.area
60,24060960.0,2018-05-27 16:54:53.721502.area
60,23589030.0,2018-05-27 16:55:14.966126.area
60,23714445.0,2018-05-27 16:55:17.947783.area
60,23351970.0,2018-05-27 16:55:27.459661.area
60,23265435.0,2018-05-27 16:56:04.220414.area
60,23290350.0,2018-05-27 16:56:07.453023.area
60,23483280.0,2018-05-27 16:56:09.815396.area
60,23325975.0,2018-05-27 16:56:16.557264.area
60,23780640.0,2018-05-27 16:56:18.748866.area
60,23826840.0,2018-05-27 16:56:26.680079.area
60,23304660.0,2018-05-27 16:56:59.945339.area
60,23633070.0,2018-05-27 16:57:33.222453.area
60,23584305.0,2018-05-27 16:57:47.341108.area
60,23917665.0,2018-05-27 16:57:52.645509.area
60,23274315.0,2018-05-27 16:58:20.114689.area
60,23912355.0,2018-05-27 16:58:27.052529.area
60,23417670.0,2018-05-27 16:58:44.627428.area
60,23393895.0,2018-05-27 16:58:57.840416.area
60,23299170.0,2018-05-27 16:59:01.005920.area
60,23234595.0,2018-05-27 16:59:09.891962.area
60,23823075.0,2018-05-27 16:59:17.794496.area
60,23318085.0,2018-05-27 16:59:32.767181.area
60,23704305.0,2018-05-27 16:59:35.780439.area
60,23323260.0,2018-05-27 16:59:49.571193.area
60,23582025.0,2018-05-27 16:59:53.290397.area
60,23176410.0,2018-05-27 17:00:18.772057.area
60,23274330.0,2018-05-27 17:00:24.805298.area
60,23478810.0,2018-05-27 17:00:31.135779.area
60,24141405.0,2018-05-27 17:00:41.618839.area
60,23222400.0,2018-05-27 17:00:53.569990.area
60,23862810.0,2018-05-27 17:00:58.116786.area
60,23625135.0,2018-05-27 17:01:01.431315.area
60,23277915.0,2018-05-27 17:01:03.928546.area
60,23699985.0,2018-05-27 17:01:08.384668.area
60,23365290.0,2018-05-27 17:01:10.313702.area
60,23526105.0,2018-05-27 17:01:25.622619.area
60,23930745.0,2018-05-27 17:01:59.538044.area
60,23880795.0,2018-05-27 17:02:24.987404.area
60,23324880.0,2018-05-27 17:02:46.736871.area
60,23405730.0,2018-05-27 17:02:58.990290.area
60,23501610.0,2018-05-27 17:03:13.412689.area
60,23941830.0,2018-05-27 17:03:24.729142.area
60,23512335.0,2018-05-27 17:03:30.656949.area
60,23763990.0,2018-05-27 17:03:45.472354.area
60,23382795.0,2018-05-27 17:03:49.588060.area
60,23260230.0,2018-05-27 17:04:43.670436.area
60,23310585.0,2018-05-27 17:04:53.084382.area
60,23283315.0,2018-05-27 17:04:57.395606.area
60,22979220.0,2018-05-27 17:05:05.698258.area
60,23789565.0,2018-05-27 17:05:13.696774.area
60,23199030.0,2018-05-27 17:05:22.299187.area
60,23502300.0,2018-05-27 17:05:25.300002.area
60,23590110.0,2018-05-27 17:06:07.753212.area
60,23051490.0,2018-05-27 17:06:18.199617.area
60,23948595.0,2018-05-27 17:06:26.278027.area
60,23558790.0,2018-05-27 17:07:19.692798.area
60,23754270.0,2018-05-27 17:07:38.586769.area
60,23292195.0,2018-05-27 17:07:46.955899.area
60,23206830.0,2018-05-27 17:08:27.011514.area
60,23264535.0,2018-05-27 17:08:46.191548.area
60,23271675.0,2018-05-27 17:08:49.984493.area
60,23023680.0,2018-05-27 17:08:52.165356.area
60,23557800.0,2018-05-27 17:09:03.084571.area
60,23852055.0,2018-05-27 17:09:18.519511.area
60,23547645.0,2018-05-27 17:09:28.102702.area
60,23074035.0,2018-05-27 17:09:48.768758.area
60,23466060.0,2018-05-27 17:10:00.974459.area
60,24133665.0,2018-05-27 17:10:32.149777.area
60,23608035.0,2018-05-27 17:10:53.013451.area
